id;name;sap_code;rd_code;ten_chung_loai;don_vi;to_san_xuat;phan_loai
1;distributed Rustic;Road architecture;ivory parse lime;Account;Account quantifying;fuchsia Strategist;Shoes Plastic
2;circuit;Dynamic;neural well-modulated ivory;National Street;Buckinghamshire Tuna;e-commerce;programming
3;Unbranded;deposit;Terrace networks Supervisor;sensor wireless Ergonomic;encoding uniform;Tuna;Accounts
4;web-readiness;Investment product withdrawal;channels;Handmade;Strategist withdrawal;sticky interface;Squares Chips
5;array;Licensed;California Way;Forward Hills Handcrafted;Practical Organized;Verde empower one-to-one;convergence SCSI Exclusive
6;Orchestrator;firewall Intelligent;Market invoice;Rial;Florida Shoes Account;Vermont CFA cross-platform;Saint Legacy Applications
7;Chair Knolls Union;Computer override;synthesizing Assistant Parkways;morph SAS;Fresh;Marketing;Massachusetts non-volatile
8;Manager Virginia Branding;Account Mississippi;Identity Gorgeous;AI;JSON;invoice;panel
9;Senegal Islands standardization;Practical Synchronised;magenta;definition Account;payment users;upward-trending;Producer Dynamic
10;Washington;B2C;Shoes Cotton Bedfordshire;Rial encompassing;Computer;Licensed auxiliary;input neural
