id;ma_nganh;ten_nganh;ngay_tao;username
1;Dakota Branding;customized;2023-12-14T16:54:33;interfaces Cambridgeshire
2;Station;Bedfordshire;2023-12-14T20:39:01;markets
3;Wooden Kroon Macao;Table Product efficient;2023-12-14T14:01:09;invoice Salad
4;Spur;overriding revolutionize;2023-12-14T23:36:55;user-facing transmitting
5;web-readiness Futuna;compress Director;2023-12-14T04:43:50;Investment Checking
6;hierarchy;Integrated Andorra monitor;2023-12-14T19:58:11;SAS
7;Cotton challenge;networks Rubber Factors;2023-12-14T19:53:09;proactive Berkshire
8;redundant deposit;blockchains Phased;2023-12-14T07:19:47;capability
9;Account deliverables Awesome;fault-tolerant;2023-12-15T00:39:00;Chicken
10;Open-architected Afghani Alaska;Automotive Officer;2023-12-14T23:42:23;open-source bandwidth
