id;ten_nhan_vien_phan_tich;the_loai_phan_tich;lot_number;detail;so_luong;ngay_kiem_tra;username;nam_san_xuat;trang_thai
1;Producer;Belize supply-chains;deposit;payment;11917;2023-12-14T23:15:10;optimizing Wall;mobile;Automotive Investor granular
2;services turquoise;Manager SMTP District;Borders;Frozen;84358;2023-12-14T16:49:35;programming Dakota;withdrawal Sausages Loan;Market cultivate e-business
3;generating;Concrete Quetzal;feed bypass transmitting;Turkish;10879;2023-12-14T22:31:38;portals;synthesize Facilitator Soft;deploy magenta SMS
4;neutral;communities Springs;Orchestrator synthesize;Soft program;32545;2023-12-14T06:55:14;Account Liaison Music;Handmade;Montana Intelligent
5;Lek Lead ubiquitous;world-class Throughway invoice;Multi-tiered Michigan Rustic;Account Handcrafted;98877;2023-12-14T06:50:04;Credit;PNG Jersey;Enhanced
6;RAM Virtual Investment;Compatible Analyst solution;upward-trending Berkshire;Checking;92067;2023-12-14T05:30:33;Electronics;Alaska Account Decentralized;systemic
7;Soft Intelligent PCI;Investor intangible;indexing;Cuban Mexico Future;243;2023-12-14T20:35:57;circuit Corporate;Forges;synergistic framework
8;white deposit;paradigms;invoice Rubber;Research;85457;2023-12-14T04:22:14;solutions Dinar;ADP revolutionize Concrete;Buckinghamshire
9;Cotton dedicated calculate;Senior Borders Configurable;withdrawal moratorium Iceland;Computers;17329;2023-12-14T12:21:57;Integration;bypass envisioneer Open-architected;Metal Somoni Future
10;Sausages Berkshire partnerships;Berkshire application Car;Shoes;Tasty Progressive;42564;2023-12-14T19:10:28;Unbranded programming;Group;Ohio Legacy harness
