id;ma_nhom_loi;ten_nhom_loi;ngay_tao;ngay_cap_nhat;username;ghi_chu;trang_thai
1;Implementation;Mouse programming;2023-12-14T20:13:25;2023-12-14T03:37:04;Loan;ability;monitor Oval
2;deposit Product modular;Decentralized Guernsey Ball;2023-12-14T04:57:38;2023-12-14T22:33:59;Garden;methodologies;parsing RAM
3;metrics Proactive;magenta Cambridgeshire;2023-12-14T12:59:09;2023-12-14T14:46:32;Synchronised;3rd Synchronised Dynamic;rich card purple
4;withdrawal;Avon Account Gardens;2023-12-14T07:41:21;2023-12-14T12:16:42;methodologies;Saint;utilize Brand hard
5;Engineer Singapore Ergonomic;payment;2023-12-14T16:22:58;2023-12-14T09:09:53;Licensed 24/7 card;Sports implement;invoice
6;Granite;Paradigm;2023-12-14T18:38:19;2023-12-14T03:53:33;Cotton USB;yellow;Designer Handmade seamless
7;Loan;Developer;2023-12-14T13:33:45;2023-12-14T08:13:32;Strategist;Configurable actuating;Cambridgeshire
8;solid intranet;monitor;2023-12-14T14:18:36;2023-12-14T09:13:26;Frozen;Toys;needs-based grow parsing
9;Sleek;CSS Tuna;2023-12-14T16:00:58;2023-12-14T17:44:58;Auto Forward;Alabama;Tools
10;users up;Money bottom-line;2023-12-14T08:10:00;2023-12-14T16:34:35;Object-based;Tasty Myanmar;bypassing Loaf National
