id;so_luong;ngay_phan_tich;username;ghi_chu
1;91055;2023-12-15T01:54:23;Awesome alarm payment;Engineer Product
2;9631;2023-12-14T08:22:40;action-items programming Gloves;Analyst transparent Corporate
3;28447;2023-12-14T16:53:54;Dynamic;morph Computers
4;64784;2023-12-15T02:39:02;convergence Islands;plum Cotton
5;14391;2023-12-14T04:07:31;Borders Tuna Account;Refined transform
6;18835;2023-12-14T14:29:47;Gorgeous Innovative quantifying;Outdoors
7;62960;2023-12-14T11:33:47;Shilling Account Wooden;compressing Account synthesizing
8;4941;2023-12-14T18:03:05;Shilling Bedfordshire;drive Brand
9;36785;2023-12-14T11:09:43;Fresh;Dinar
10;64407;2023-12-15T00:00:34;synthesizing;attitude 1080p
