id;ten_tinh_trang_phan_loai;ngay_tao;ngay_cap_nhat;username;trang_thai
1;Wooden quantifying;2023-12-14T12:25:43;2023-12-14T08:27:47;optical Island;Internal panel
2;transitional;2023-12-14T14:59:07;2023-12-14T22:38:57;Generic;Bacon Berkshire
3;Corporate sexy;2023-12-15T01:11:34;2023-12-14T22:29:09;monetize Port Reactive;Plastic District engineer
4;quantify Grocery;2023-12-14T14:38:50;2023-12-14T04:18:07;copy;Refined Administrator
5;logistical Savings toolset;2023-12-14T03:05:29;2023-12-14T21:01:55;synthesizing;24/365 Digitized
6;connecting;2023-12-14T20:57:37;2023-12-14T13:45:36;calculating Account Soft;Integration
7;Plastic Pants;2023-12-14T18:31:52;2023-12-14T14:26:07;Account invoice Baby;Manager Plain Jersey
8;Virtual;2023-12-15T01:10:17;2023-12-14T09:49:48;cyan utilize Avon;Arkansas
9;Intranet hack;2023-12-14T02:51:33;2023-12-14T16:09:33;silver;aggregate Realigned
10;Mouse;2023-12-14T06:56:48;2023-12-14T22:19:38;Central Group;Shoes backing Principal
