id;ngay_tiep_nhan;trang_thai;nhan_vien_giao_hang;ngaykhkb;nguoi_tao_don;sl_tiep_nhan;sl_da_phan_tich;ghi_chu;ngay_tra_bien_ban
1;XSS Tasty;Generic hub;International matrix;2023-12-14T22:24:30;Cross-group Berkshire Account;72971;30073;reboot systems;2023-12-14T17:09:54
2;web;flexibility Plastic red;architecture;2023-12-14T08:42:56;JBOD Practical standardization;45393;91514;Avon e-tailers Bedfordshire;2023-12-14T04:35:18
3;Avon;Franc THX;application lime;2023-12-14T09:47:36;Lakes Squares;9611;69133;enable Frozen;2023-12-14T12:58:18
4;parse Optimization;override utilize Delaware;Franc Seamless;2023-12-15T02:48:46;evolve;60554;15401;Romania synthesizing;2023-12-14T17:50:41
5;firewall Rest orange;Future;Factors ADP analyzing;2023-12-14T22:05:31;Profound Investment magenta;43274;89498;Investor;2023-12-14T18:51:25
6;aggregate panel;optical primary set;Metal Music executive;2023-12-14T04:40:27;synergize;23839;72651;auxiliary;2023-12-14T19:23:02
7;Wooden Computer;Profound;purposes capacitor;2023-12-14T05:57:18;Idaho;26319;56677;implement Congo CSS;2023-12-14T10:39:17
8;Guarani;ADP Steel;Global;2023-12-14T06:18:22;Grass-roots Comoro;16841;61864;Configuration;2023-12-14T13:31:56
9;Junction 1080p;Italy SSL;optical Bacon maroon;2023-12-14T19:00:31;navigating Burgs Christmas;11929;62573;Table;2023-12-14T17:41:00
10;Islands Vermont;deposit;Clothing;2023-12-14T17:43:04;Sleek Sleek Group;6043;95576;Hampshire bleeding-edge Gold;2023-12-14T11:13:15
