id;name;time_create;time_update;username;trang_thai
1;Team-oriented redundant;Facilitator Garden;2023-12-14T12:49:33;Spurs;Chief Gorgeous synthesizing
2;back-end;Officer South Synergized;2023-12-14T06:55:10;infomediaries override Web;Concrete
3;Corners Future;Washington compressing hacking;2023-12-14T21:23:17;purple distributed deliver;neutral Metal Dirham
4;SSL District synthesizing;Administrator coherent Small;2023-12-15T00:55:20;Games;Agent Wallis
5;Shoes intuitive;Burundi SSL;2023-12-14T09:35:23;Re-engineered Identity;primary
6;SSL;Shirt dynamic;2023-12-14T14:54:39;robust;Rustic synthesize reboot
7;Small;Islands panel;2023-12-14T05:15:47;Yen Virginia Account;access deposit
8;schemas Frozen;structure Progressive Iraqi;2023-12-14T19:30:01;Kids indigo Fields;static Mayotte Market
9;Table Mountains;withdrawal withdrawal;2023-12-15T00:11:53;Niue;navigating Pants Borders
10;radical Granite;Radial USB Branding;2023-12-14T19:35:12;e-enable;Virginia array
