id;so_luong_khach_hang;id_kho;id_bien_ban;tong_loi_ki_thuat;tong_loi_linh_dong;ngay_phan_loai;sl_tiep_nhan;sl_ton;tinh_trang_bao_hanh
1;94906;Isle Plastic;withdrawal Branding cross-media;100;14511;2023-12-14T21:27:55;78495;54703;Account Account fuchsia
2;58103;Loan Bedfordshire unleash;Account Licensed architect;83227;28396;2023-12-14T13:35:37;74836;49338;global
3;25580;silver deposit;(Slovak;89977;66701;2023-12-14T22:06:41;3256;19076;bypass Mexico front-end
4;89914;sticky;hour Internal;52839;99288;2023-12-14T21:11:11;13010;47480;recontextualize Savings
5;46528;Executive index 5th;Chips;2670;12235;2023-12-14T23:35:45;80102;52236;National Implementation index
6;67631;Islands zero;Response;62552;33740;2023-12-15T00:35:24;32295;76670;Republic) COM clicks-and-mortar
7;9015;Roads;Islands cross-media;88115;66967;2023-12-14T22:04:55;6528;83494;Licensed orchestrate Home
8;36556;Cambridgeshire SSL;Netherlands Dong Central;7986;24975;2023-12-15T02:43:49;91945;34048;portals Designer neural
9;92303;drive;Phased Planner;25282;56988;2023-12-15T01:14:34;60972;50924;Alaska Micronesia Plastic
10;14013;Washington optical asymmetric;complexity;80059;10824;2023-12-14T11:41:19;30640;72747;teal Path Sausages
