id;err_code;ten_loi;ngay_tao;ngay_cap_nhat;username;chi_chu;trang_thai
1;primary Checking;Administrator;2023-12-14T13:17:43;2023-12-14T09:37:50;transmit bypass parsing;deposit Street;compressing Regional Developer
2;Fish;Ghana invoice;2023-12-14T12:46:24;2023-12-14T20:15:33;customer Bridge;Diverse Future;Lock task-force Frozen
3;pink Baby Sheqel;Turnpike;2023-12-14T08:31:49;2023-12-14T17:33:51;Corporate Cheese;azure methodologies RSS;Solutions back-end Kids
4;Home input;Grocery Avon;2023-12-14T22:06:33;2023-12-14T23:42:18;Lempira sensor;turn-key invoice;firmware
5;invoice Card;Forges;2023-12-14T06:32:12;2023-12-14T03:35:41;back-end Pines;seamless Research;Mount global
6;ubiquitous Checking;wireless;2023-12-15T02:12:07;2023-12-15T01:13:50;Bacon Account Leu;Cotton Baht;Unbranded
7;Designer Investor;Technician;2023-12-14T05:36:07;2023-12-14T22:46:29;Automotive cross-platform Borders;synthesize;Republic Global
8;Handcrafted Massachusetts;Research integrate cross-platform;2023-12-14T18:40:57;2023-12-14T18:46:21;protocol incremental;Station Industrial;Manager transmit bypassing
9;Market neural;Chair up Web;2023-12-14T14:04:01;2023-12-14T15:21:54;Avon;Virginia Burkina Salad;object-oriented
10;port;mission-critical Accountability;2023-12-14T22:29:12;2023-12-14T04:39:57;architectures Usability repurpose;impactful Games;Plastic
