id;ten_nhom_khach_hang;ngay_tao;ngay_cap_nhat;username;trang_thai
1;payment Refined;2023-12-14T09:55:03;2023-12-14T02:52:16;Chief systematic Directives;Guinea-Bissau
2;Cotton Soft Unit;2023-12-14T10:44:04;2023-12-14T22:20:15;visualize;Table Focused
3;Practical;2023-12-14T03:42:21;2023-12-15T01:38:14;neural Steel Loan;Chips implement
4;Operations;2023-12-14T22:03:19;2023-12-14T04:01:26;Monitored Optimization actuating;connecting Cambridgeshire
5;calculate;2023-12-14T09:21:46;2023-12-14T13:37:06;client-driven cross-platform e-commerce;Open-source
6;orange facilitate;2023-12-14T05:41:25;2023-12-14T06:35:31;Texas;Applications Buckinghamshire Incredible
7;Account Bedfordshire Manager;2023-12-14T18:28:39;2023-12-14T07:56:16;copying;Buckinghamshire
8;Intranet fuchsia;2023-12-15T02:33:53;2023-12-14T18:44:22;Executive;Tasty best-of-breed Awesome
9;Mayotte;2023-12-14T12:39:43;2023-12-14T22:21:17;quantifying Borders;Steel Arkansas
10;Administrator Libyan optical;2023-12-14T17:42:31;2023-12-14T05:44:16;eyeballs virtual;Soft
