id;ma_chung_loai;ten_chung_loai;ngay_tao;username
1;turquoise support;Dollar withdrawal;2023-12-14T16:29:26;content Cambodia North
2;Data District Tunnel;Incredible;2023-12-14T09:37:21;Frozen bypass Rial
3;CSS transparent application;metrics Buckinghamshire;2023-12-14T07:32:25;systemic payment
4;Intelligent;Wooden Borders;2023-12-15T02:45:06;bus overriding
5;Fresh Architect;context-sensitive Cotton;2023-12-14T05:45:30;Dakota
6;Orchestrator Computer;port Estates;2023-12-14T12:08:39;auxiliary Borders Assistant
7;Buckinghamshire;seamless;2023-12-14T13:13:04;SMTP strategic
8;Peso visionary;grey Movies quantifying;2023-12-14T12:10:35;Consultant Handcrafted
9;Regional disintermediate;Mouse;2023-12-14T03:40:37;Supervisor Salad
10;Minnesota microchip;input;2023-12-14T17:53:58;sexy French
